"","site_id","date","filename","species","begin_clock_time_hms","nauticalDawn","sunrise","peak_freq","vert_strat","relative_onset_times","scientific_name","common_name","ebird_residuals","foraging_habit","territoriality","mass","trophic_niche","season"
"651","UPMAP3B",2020-03-25,"20200325_055000.WAV","BNMO",05:53:47,05:39:21,2020-03-25 06:24:49,4312.5,7,14.4333333333333,"Hypothymis azurea","Black-naped Monarch",0.0998052336804932,"MID","Weakly territorial",11.1,"Invertivore","summer"
"652","SEL107U",2020-05-04,"20200504_055000.WAV","YBBU",05:53:48,05:17:05,2020-05-04 06:04:44,2812.5,5,36.7166666666667,"Iole indica","Yellow-browed Bulbul",0.107121686439749,"MID","Weakly territorial",30.6,"Omnivore","summer"
"653","STIN02U",2020-05-02,"20200502_055000.WAV","ISBA",05:53:51,05:17:54,2020-05-02 06:05:24,843.75,4,35.95,"Pomatorhinus horsfieldii","Indian Scimitar-Babbler",-0.137206404543351,"UND","Highly territorial",43,"Invertivore","summer"
"654","HP36P4B",2020-03-25,"20200325_055000.WAV","GHCF",05:53:52,05:38:56,2020-03-25 06:24:25,4125,8,14.9333333333333,"Culicicapa ceylonensis","Gray-headed Canary-Flycatcher",0.138023294219758,"MID","Weakly territorial",7.7,"Invertivore","summer"
"655","OLV110U",2020-03-20,"20200320_055000.WAV","ASKO",05:53:52,05:42:15,2020-03-20 06:27:40,1875,4,11.6166666666667,"Eudynamys scolopaceus","Asian Koel",0.111106111823584,"MID","Non-territorial",194.9,"Frugivore","summer"
"656","SEL207U",2020-03-07,"20200307_055000.WAV","OHTH",05:53:52,05:49:36,2020-03-07 06:35:07,4593.75,5,4.26666666666667,"Geokichla citrina","Orange-headed Thrush",0.11323128969935,"GRD","Weakly territorial",53.3,"Omnivore","summer"
"657","INME03U",2020-05-07,"20200507_055000.WAV","NIFP",05:53:53,05:16:02,2020-05-07 06:03:55,5531.25,6,37.85,"Dicaeum concolor","Nilgiri Flowerpecker",-0.206762406124997,"CAN","Non-territorial",6.2,"Omnivore","summer"
"658","INME03R",2020-05-02,"20200502_055000.WAV","NIFP",05:53:54,05:17:55,2020-05-02 06:05:25,4875,7,35.9833333333333,"Dicaeum concolor","Nilgiri Flowerpecker",-0.206762406124997,"CAN","Non-territorial",6.2,"Omnivore","summer"
"659","SEL207U",2020-03-07,"20200307_055000.WAV","PTBA",05:53:58,05:49:36,2020-03-07 06:35:07,2625,5,4.36666666666667,"Pellorneum ruficeps","Puff-throated Babbler",0.0901612947069309,"GRD","Highly territorial",26,"Invertivore","summer"
"660","HP37P1B",2020-03-14,"20200314_055000.WAV","YBBU",05:54:00,05:45:33,2020-03-14 06:30:59,2625,7,8.45,"Iole indica","Yellow-browed Bulbul",0.107121686439749,"MID","Weakly territorial",30.6,"Omnivore","summer"
"661","PANMP1B",2020-03-21,"20200321_055000.WAV","MWTH",05:54:00,05:41:49,2020-03-21 06:27:14,1500,5,12.1833333333333,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"662","HP36P3B",2020-03-25,"20200325_055500.WAV","BCFU",05:55:00,05:38:55,2020-03-25 06:24:24,2531.25,8,16.0833333333333,"Alcippe poioicephala","Brown-cheeked Fulvetta",-0.0355518522218901,"MID","Highly territorial",20.7,"Invertivore","summer"
"663","UPMAP1B",2020-03-28,"20200328_055500.WAV","MWTH",05:55:00,05:37:28,2020-03-28 06:23:00,1593.75,6,17.5333333333333,"Myophonus horsfieldii","Malabar Whistling-Thrush",0.185941569594437,"GRD","Weakly territorial",117,"Aquatic predator","summer"
"664","UPMAP6B",2020-03-28,"20200328_055500.WAV","OHTH",05:55:00,05:37:29,2020-03-28 06:23:01,2812.5,6,17.5166666666667,"Geokichla citrina","Orange-headed Thrush",0.11323128969935,"GRD","Weakly territorial",53.3,"Omnivore","summer"
"665","OLV208R",2020-03-27,"20200327_055500.WAV","GRJU",05:55:01,05:37:56,2020-03-27 06:23:27,1312.5,7,17.0833333333333,"Gallus sonneratii","Gray Junglefowl",-0.227564125346617,"GRD","Weakly territorial",840.8,"Omnivore","summer"
"666","OLV208R",2020-03-27,"20200327_055500.WAV","SHMY",05:55:01,05:37:56,2020-03-27 06:23:27,4500,7,17.0833333333333,"Gracula indica","Southern Hill Myna",-0.0602970432454826,"CAN","Non-territorial",192,"Frugivore","summer"
"667","THEN10U",2020-03-26,"20200326_055500.WAV","GRJU",05:55:01,05:38:32,2020-03-26 06:24:02,1312.5,5,16.4833333333333,"Gallus sonneratii","Gray Junglefowl",-0.227564125346617,"GRD","Weakly territorial",840.8,"Omnivore","summer"
"668","HP36P4B",2020-03-11,"20200311_055500.WAV","BCFU",05:55:02,05:47:14,2020-03-11 06:32:41,2718.75,8,7.8,"Alcippe poioicephala","Brown-cheeked Fulvetta",-0.0355518522218901,"MID","Highly territorial",20.7,"Invertivore","summer"
"669","INME03R",2020-05-08,"20200508_055500.WAV","ISBA",05:55:02,05:15:39,2020-05-08 06:03:38,1125,7,39.3833333333333,"Pomatorhinus horsfieldii","Indian Scimitar-Babbler",-0.137206404543351,"UND","Highly territorial",43,"Invertivore","summer"
"670","VAR310U",2020-05-05,"20200505_055500.WAV","GRJU",05:55:02,05:16:44,2020-05-05 06:04:29,1218.75,3,38.3,"Gallus sonneratii","Gray Junglefowl",-0.227564125346617,"GRD","Weakly territorial",840.8,"Omnivore","summer"
"671","HP36P3B",2020-03-11,"20200311_055500.WAV","BCFU",05:55:03,05:47:13,2020-03-11 06:32:41,2625,8,7.83333333333333,"Alcippe poioicephala","Brown-cheeked Fulvetta",-0.0355518522218901,"MID","Highly territorial",20.7,"Invertivore","summer"
